No,Bujur,Lintang,Kepercayaan,Kabupaten/Kota,Kecamatan
1,115.7659 BT,0.1731 LS,Sedang,"""KUTAI BARAT""",BARONGTONGKOK
2,116.2467 BT,0.6028 LS,Sedang,"""KUTAI BARAT""",BONGAN
3,115.5626 BT,0.5372 LS,Sedang,"""KUTAI BARAT""",DAMAI
4,115.5416 BT,0.4401 LS,Sedang,"""KUTAI BARAT""",DAMAI
5,116.1130 BT,0.6521 LS,Sedang,"""KUTAI BARAT""",JEMPANG
6,116.2302 BT,0.4602 LS,Rendah,"""KUTAI BARAT""",JEMPANG
7,116.2343 BT,0.4595 LS,Sedang,"""KUTAI BARAT""",JEMPANG
8,116.1660 BT,0.4773 LS,Sedang,"""KUTAI BARAT""",JEMPANG
9,116.1614 BT,0.4743 LS,Sedang,"""KUTAI BARAT""",JEMPANG
10,116.1695 BT,0.4731 LS,Sedang,"""KUTAI BARAT""",JEMPANG
11,116.1655 BT,0.4737 LS,Sedang,"""KUTAI BARAT""",JEMPANG
12,116.1650 BT,0.4701 LS,Sedang,"""KUTAI BARAT""",JEMPANG
13,116.1928 BT,0.4014 LS,Sedang,"""KUTAI BARAT""",JEMPANG
14,116.1882 BT,0.3984 LS,Sedang,"""KUTAI BARAT""",JEMPANG
15,116.1630 BT,0.4720 LS,Rendah,"""KUTAI BARAT""",JEMPANG
16,116.1625 BT,0.4683 LS,Rendah,"""KUTAI BARAT""",JEMPANG
17,115.5711 BT,0.0945 LS,Sedang,"""KUTAI BARAT""",LINGGANGBIGUNG
18,115.4968 BT,0.0961 LS,Sedang,"""KUTAI BARAT""",LINGGANGBIGUNG
19,115.9088 BT,0.3212 LS,Sedang,"""KUTAI BARAT""",MUARAPAHU
20,116.0354 BT,0.2121 LS,Rendah,"""KUTAI BARAT""",MUARAPAHU
21,115.4822 BT,0.3664 LS,Sedang,"""KUTAI BARAT""",NYUATAN
22,115.5398 BT,0.3876 LS,Sedang,"""KUTAI BARAT""",NYUATAN
23,115.5368 BT,0.2440 LS,Sedang,"""KUTAI BARAT""",NYUATAN
24,115.5478 BT,0.2387 LS,Sedang,"""KUTAI BARAT""",NYUATAN
25,115.3117 BT,0.2155 LS,Sedang,"""KUTAI BARAT""",NYUATAN
26,115.3122 BT,0.2190 LS,Sedang,"""KUTAI BARAT""",NYUATAN
27,115.3221 BT,0.2069 LS,Sedang,"""KUTAI BARAT""",NYUATAN
28,115.3797 BT,0.2018 LS,Sedang,"""KUTAI BARAT""",NYUATAN
29,116.1923 BT,0.3978 LS,Sedang,"""KUTAI BARAT""",PENYINGGAHAN
30,116.2765 BT,0.3998 LS,Sedang,"""KUTAI BARAT""",PENYINGGAHAN
31,116.2840 BT,0.3655 LS,Sedang,"""KUTAI BARAT""",PENYINGGAHAN
32,116.1904 BT,0.3973 LS,Rendah,"""KUTAI BARAT""",PENYINGGAHAN
33,116.1909 BT,0.3970 LS,Sedang,"""KUTAI BARAT""",PENYINGGAHAN
34,115.8723 BT,0.9453 LS,Sedang,"""KUTAI BARAT""",SILIQNGURAI
